cell,binary,pair,pos,method,payload_bytes,messages,vus,cores,exit,iterations,achieved_per_s,wall_s,task_clock_ms,cycles,instructions,ctx_switches,cpu_migrations,cache_misses
unary-large,base,0,warmup,UnaryEcho,64000,1,16,0-7,0,99766.0,9976.6,10.030,67336.46,246564545655,656474821758,0,0,2469652866
unary-large,cand,0,warmup,UnaryEcho,64000,1,16,0-7,0,105422.0,10542.2,10.016,69707.03,256216829672,693272025140,0,0,2566891454
unary-large,base,1,1,UnaryEcho,64000,1,16,0-7,0,110912.0,11091.2,10.016,74772.62,274059702870,729870836741,0,0,2834741553
unary-large,cand,1,2,UnaryEcho,64000,1,16,0-7,0,113059.0,11305.9,10.015,75522.87,273827762528,743460108346,0,0,2857473957
unary-large,cand,2,1,UnaryEcho,64000,1,16,0-7,0,92242.0,9224.2,10.015,60526.40,220870909608,606642179398,0,0,2210596821
unary-large,base,2,2,UnaryEcho,64000,1,16,0-7,0,90765.0,9076.5,10.015,59981.86,220304321621,597380579695,0,0,2206942400
unary-large,base,3,1,UnaryEcho,64000,1,16,0-7,0,88369.0,8836.9,10.016,57667.85,213206912912,581432123757,0,0,2122752032
unary-large,cand,3,2,UnaryEcho,64000,1,16,0-7,0,85190.0,8519.0,10.015,54191.60,200103279087,560172634701,0,0,1981923351
unary-large,cand,4,1,UnaryEcho,64000,1,16,0-7,0,102353.0,10235.3,10.015,67714.31,246730104727,673007799038,0,0,2497008325
unary-large,base,4,2,UnaryEcho,64000,1,16,0-7,0,98418.0,9841.8,10.015,65320.70,239998438873,647596629339,0,0,2432172999
unary-large,base,5,1,UnaryEcho,64000,1,16,0-7,0,79438.0,7943.8,10.015,51577.89,189200609195,522761758911,0,0,1899908482
unary-large,cand,5,2,UnaryEcho,64000,1,16,0-7,0,106617.0,10661.7,10.015,70244.05,257222518967,701107600087,0,0,2625372036
unary-large,cand,6,1,UnaryEcho,64000,1,16,0-7,0,111796.0,11179.6,10.015,74697.10,270587246139,735143670902,0,0,2791562133
unary-large,base,6,2,UnaryEcho,64000,1,16,0-7,0,88359.0,8835.9,10.016,58348.59,214403508929,581447138143,0,0,2147708489
unary-large,base,7,1,UnaryEcho,64000,1,16,0-7,0,97138.0,9713.8,10.015,65119.31,237011593814,639081149833,0,0,2454989015
unary-large,cand,7,2,UnaryEcho,64000,1,16,0-7,0,93883.0,9388.3,10.015,60775.96,223135742454,617394672877,0,0,2237415773
unary-large,cand,8,1,UnaryEcho,64000,1,16,0-7,0,93911.0,9391.1,10.015,61054.63,224166919656,617485534659,0,0,2232311723
unary-large,base,8,2,UnaryEcho,64000,1,16,0-7,0,83581.0,8358.1,10.015,54167.54,200639575332,550037164249,0,0,1986743487
unary-large,base,9,1,UnaryEcho,64000,1,16,0-7,0,100976.0,10097.6,10.015,67083.46,246676928792,664475558062,0,0,2510098029
unary-large,cand,9,2,UnaryEcho,64000,1,16,0-7,0,97981.0,9798.1,10.015,64858.75,235918033494,644353407571,0,0,2388155487
unary-large,cand,10,1,UnaryEcho,64000,1,16,0-7,0,108817.0,10881.7,10.014,71730.02,262164366843,715569270187,0,0,2682991274
unary-large,base,10,2,UnaryEcho,64000,1,16,0-7,0,100298.0,10029.8,10.015,66827.63,244994315724,660004225432,0,0,2465347233
