cell,binary,pair,pos,method,payload_bytes,messages,vus,cores,exit,iterations,achieved_per_s,wall_s,task_clock_ms,cycles,instructions,ctx_switches,cpu_migrations,cache_misses
unary-small,base,0,warmup,UnaryEcho,192,1,16,0-7,0,720767.0,72076.7,10.032,58471.23,164924482491,101002424769,0,0,10646372650
unary-small,cand,0,warmup,UnaryEcho,192,1,16,0-7,0,682196.0,68219.6,10.014,48935.96,135427839744,93554458274,0,0,9500031687
unary-small,base,1,1,UnaryEcho,192,1,16,0-7,0,672471.0,67247.1,10.014,49456.26,137716151689,93888917738,0,0,9469119564
unary-small,cand,1,2,UnaryEcho,192,1,16,0-7,0,720001.0,72000.1,10.014,57658.89,161179565073,99044318400,0,0,10466173709
unary-small,cand,2,1,UnaryEcho,192,1,16,0-7,0,725639.0,72563.9,10.013,57795.59,161313291606,99849687723,0,0,10475120282
unary-small,base,2,2,UnaryEcho,192,1,16,0-7,0,702005.0,70200.5,10.013,56259.09,156733402351,98515027072,0,0,10567016224
unary-small,base,3,1,UnaryEcho,192,1,16,0-7,0,708820.0,70882.0,10.014,56765.81,158902787752,99385121445,0,0,10479169314
unary-small,cand,3,2,UnaryEcho,192,1,16,0-7,0,713485.0,71348.5,10.014,56337.10,156894693382,98160195018,0,0,10270019909
unary-small,cand,4,1,UnaryEcho,192,1,16,0-7,0,718850.0,71885.0,10.014,57209.23,159261362365,99002743513,0,0,10382372876
unary-small,base,4,2,UnaryEcho,192,1,16,0-7,0,659261.0,65926.1,10.014,48214.88,134592383376,92017386433,0,0,9293577552
unary-small,base,5,1,UnaryEcho,192,1,16,0-7,0,656919.0,65691.9,10.014,47399.41,131779238415,91721068326,0,0,9241081327
unary-small,cand,5,2,UnaryEcho,192,1,16,0-7,0,719110.0,71911.0,10.014,57564.08,159643981254,99108743123,0,0,10651243155
unary-medium,base,0,warmup,UnaryEcho,2000,1,16,0-7,0,548224.0,54822.4,10.013,60239.79,168914870816,180183041375,0,0,8617415342
unary-medium,cand,0,warmup,UnaryEcho,2000,1,16,0-7,0,560720.0,56072.0,10.014,60446.05,168273909971,182815663764,0,0,8669083235
unary-medium,base,1,1,UnaryEcho,2000,1,16,0-7,0,543489.0,54348.9,10.014,57973.41,162515214464,178496048266,0,0,8436264372
unary-medium,cand,1,2,UnaryEcho,2000,1,16,0-7,0,564186.0,56418.6,10.014,60688.54,169781022001,184002571810,0,0,8511378248
unary-medium,cand,2,1,UnaryEcho,2000,1,16,0-7,0,549978.0,54997.8,10.014,56557.23,158385944435,179115663658,0,0,8286866776
unary-medium,base,2,2,UnaryEcho,2000,1,16,0-7,0,533501.0,53350.1,10.013,57167.06,159447112918,175228347499,0,0,8401448240
unary-medium,base,3,1,UnaryEcho,2000,1,16,0-7,0,533366.0,53336.6,10.013,56459.48,157598058143,175101021927,0,0,8317655510
unary-medium,cand,3,2,UnaryEcho,2000,1,16,0-7,0,549766.0,54976.6,10.013,58791.54,163833536061,179228046715,0,0,8475755692
